x,y,arg
2.5448499,19.669292,1
-3.3867831,-0.12371448,1
-8.258541,1.0930909,2
0.05442001,11.336915,1
1.4768829,-3.5805957,2
7.236284,-5.393479,0
15.343226,12.889276,0
21.223818,1.875231,0
16.543188,-11.21786,2
5.666874,10.051078,0
18.038845,17.423178,0
23.26449,-0.13823634,0
11.885943,5.78487,2
3.7228034,-5.608163,1
-2.6177592,11.916632,2
12.27712,18.708382,0
-3.985371,17.201126,1
7.0514345,-16.769262,2
-5.9790454,4.6934724,0
18.006304,15.229723,0
17.48665,-6.0237923,0
10.102377,12.414368,2
6.328569,10.544041,0
16.858917,8.58564,2
13.515886,16.64637,0
-13.352755,12.86713,1
-9.36139,6.7892385,1
3.6034393,-8.055667,2
3.0848258,4.0716085,2
18.14276,13.442742,0
20.16371,-10.471384,2
3.9981477,7.391565,2
-2.3164613,18.661808,1
-9.659128,7.704317,1
-13.929268,-4.1838408,1
-7.8414593,-4.702578,1
0.06182979,-11.191717,2
9.494491,-0.9383316,1
-1.3592465,16.298923,1
-16.915413,-4.8073425,1
-6.151946,-3.0345416,0
-4.7220984,-18.205095,1
-4.2457805,4.381408,2
4.3828664,5.330887,0
9.031869,12.566802,2
1.0506154,13.8027,0
-9.977589,22.612972,1
-16.478338,9.2501135,1
-6.2612615,-12.084387,1
2.0250022,-14.24059,2
8.703383,-11.928037,2
7.069997,18.672972,0
25.213408,-0.52775735,0
0.11240918,-17.974998,2
-5.658391,14.606665,0
20.387167,15.992299,0
17.496609,-6.0346174,0
12.5440035,-2.8759437,2
5.0220437,-4.9829164,2
10.971458,18.181442,0
16.477394,-0.07337152,0
19.584131,11.011614,0
18.973974,-3.8153727,0
11.332168,7.839463,0
8.555989,-6.561792,2
7.8181453,3.2724156,1
-6.5188055,12.732005,1
-15.002198,4.590563,1
-10.237197,-3.588558,1
1.704121,-8.615327,2
2.7445884,-3.3830202,1
0.44497856,8.937437,1
-5.7853947,7.724806,1
-2.8823395,1.540841,1
-8.9029255,2.0525928,1
-7.4688625,9.609007,2
